1.05 0 0 0.1 1.25593e-05
1.15 0 0 0.1 1.25593e-05
1.3 0 0 0.2 1.25593e-05
1.5 0 0 0.2 1.25593e-05
1.7 0 0 0.2 1.25593e-05
1.9 0 0 0.2 1.25593e-05
2.1 0 0 0.2 1.25593e-05
2.3 0 0 0.2 1.25593e-05
2.8 0 0 0.8 1.25593e-05
3.6 0 0 0.8 1.25593e-05
4.4 0 0 0.8 1.25593e-05
5.2 0 0 0.8 1.25593e-05
6 0 0 0.8 1.25593e-05
6.8 0 0 0.8 1.25593e-05
8.4 0 0 2.4 1.25593e-05
10.8 0 0 2.4 1.25593e-05
13.2 0 0 2.4 1.25593e-05
16.8 0 0 4.8 1.25593e-05
21.6 0 0 4.8 1.25593e-05
26.4 0 0 4.8 1.25593e-05
32 0 0 6.4 1.25593e-05
38.4 0 0 6.4 1.25593e-05
44.8 0 0 6.4 1.25593e-05
54.4 0 0 12.8 1.25593e-05
67.2 0 0 12.8 1.25593e-05
80 0 0 12.8 1.25593e-05
95 0 0 17.2 1.25593e-05
141.8 0 0 76.4 1.25593e-05
230 0 0 100 1.25593e-05
340 0 0 120 1.25593e-05
500 0 0 200 1.25593e-05
END 1.25593065e-05 1
